epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,265.06,3.15094,5.63433,3.85902,0.22185,0.153,0.01135,0.00584,1.94348,4.26144,3.05224,0.00998779,0.00332926,0.00998779,0.00332926,0.00998779,0.00332926,0.00998779,0.00332926
2,500.461,1.90593,4.62093,2.50705,0.53689,0.10337,0.03201,0.02262,1.30062,3.331,2.02894,0.0198889,0.00662962,0.0198889,0.00662962,0.0198889,0.00662962,0.0198889,0.00662962
3,725.47,1.42912,4.08266,1.93992,0.5183,0.16998,0.07111,0.05278,1.08413,3.3767,1.74163,0.0296909,0.00989697,0.0296909,0.00989697,0.0296909,0.00989697,0.0296909,0.00989697
4,948.521,1.2431,3.73193,1.74774,0.47762,0.25719,0.14956,0.11152,1.02746,3.11435,1.63601,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1171,1.15374,3.37557,1.64257,0.31556,0.27298,0.18687,0.14541,0.8841,2.85366,1.4732,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1392.19,1.08735,3.07079,1.56293,0.44558,0.3691,0.33588,0.2611,0.8306,2.22778,1.40947,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1613.48,1.05289,2.84528,1.52004,0.44497,0.42513,0.41711,0.31864,0.8062,2.07287,1.36342,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1835.56,1.02083,2.66718,1.49663,0.41595,0.49344,0.4469,0.35446,0.79203,1.95179,1.34936,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2052.39,1.00006,2.54575,1.46182,0.39511,0.50089,0.44158,0.3532,0.75883,1.87932,1.32396,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2274.67,0.97576,2.40315,1.43404,0.57375,0.46169,0.5305,0.43665,0.74769,1.69888,1.29482,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2496.99,0.96602,2.29169,1.42476,0.45797,0.56781,0.55328,0.45022,0.7181,1.6995,1.26767,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,2718.64,0.95231,2.21871,1.40649,0.56219,0.53913,0.5941,0.4844,0.7226,1.56219,1.26978,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,2939.36,0.91785,2.13243,1.38381,0.55223,0.57449,0.61476,0.50571,0.69789,1.50437,1.24104,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,3154.19,0.92546,2.06893,1.38356,0.59683,0.60863,0.66373,0.5448,0.6926,1.38854,1.24186,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,3370.43,0.90053,1.97737,1.358,0.63648,0.59802,0.68232,0.56739,0.68634,1.32882,1.23435,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,3585.63,0.89024,1.91857,1.35438,0.64144,0.64653,0.6972,0.57412,0.67511,1.26592,1.2327,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,3800.38,0.87831,1.85958,1.34008,0.59094,0.66234,0.6974,0.57477,0.67557,1.26577,1.22377,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,4015.09,0.87651,1.80503,1.33487,0.61413,0.65369,0.72587,0.59899,0.67632,1.21733,1.22488,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,4230.82,0.86679,1.76252,1.32755,0.69373,0.64838,0.73354,0.61999,0.6539,1.18451,1.19914,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,4446.4,0.85931,1.7181,1.3232,0.69565,0.66909,0.75377,0.62564,0.65648,1.09826,1.1997,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
